Checking Status,Credit History,Credit Requested,Saving Status,Class
<0,critical/other existing credit,1169,unknown,good
0<=X<200,existing paid,5951,<100,bad
no checking,critical/other existing credit,2096,<100,good
<0,existing paid,7882,<100,good
<0,delayed previously,4870,<100,bad
no checking,existing paid,9055,unknown,good
no checking,existing paid,2835,500<=X<1000,good
0<=X<200,existing paid,6948,<100,good
no checking,existing paid,3059,>=1000,good
0<=X<200,critical/other existing credit,5234,<100,bad
0<=X<200,existing paid,1295,<100,bad
<0,existing paid,4308,<100,bad
0<=X<200,existing paid,1567,<100,good
<0,critical/other existing credit,1199,<100,bad
<0,existing paid,1403,<100,good
<0,existing paid,1282,100<=X<500,bad
no checking,critical/other existing credit,2424,unknown,good
<0,no credits/all paid,8072,unknown,good
0<=X<200,existing paid,12579,<100,bad
no checking,existing paid,3430,500<=X<1000,good
no checking,critical/other existing credit,2134,<100,good
<0,existing paid,2647,500<=X<1000,good
<0,critical/other existing credit,2241,<100,good
0<=X<200,critical/other existing credit,1804,100<=X<500,good
no checking,critical/other existing credit,2069,unknown,good
<0,existing paid,1374,<100,good
no checking,no credits/all paid,426,<100,good
>=200,no credits/all paid,409,>=1000,good
0<=X<200,existing paid,2415,<100,good
<0,delayed previously,6836,<100,bad
0<=X<200,existing paid,1913,>=1000,good
<0,existing paid,4020,<100,good
0<=X<200,existing paid,5866,100<=X<500,good
no checking,critical/other existing credit,1264,unknown,good
>=200,existing paid,1474,<100,good
0<=X<200,critical/other existing credit,4746,<100,bad
no checking,critical/other existing credit,6110,<100,good
>=200,existing paid,2100,<100,bad
>=200,existing paid,1225,<100,good
0<=X<200,existing paid,458,<100,good
no checking,existing paid,2333,500<=X<1000,good
0<=X<200,existing paid,1158,500<=X<1000,good
0<=X<200,delayed previously,6204,<100,good
<0,critical/other existing credit,6187,100<=X<500,good
<0,critical/other existing credit,6143,<100,bad
no checking,critical/other existing credit,1393,<100,good
no checking,existing paid,2299,500<=X<1000,good
<0,existing paid,1352,500<=X<1000,good
no checking,critical/other existing credit,7228,<100,good
no checking,existing paid,2073,100<=X<500,good
0<=X<200,delayed previously,2333,unknown,good
0<=X<200,delayed previously,5965,<100,good
no checking,existing paid,1262,<100,good
no checking,existing paid,3378,unknown,good
0<=X<200,delayed previously,2225,<100,bad
no checking,no credits/all paid,783,unknown,good
0<=X<200,existing paid,6468,unknown,bad
no checking,critical/other existing credit,9566,<100,good
>=200,existing paid,1961,<100,good
<0,critical/other existing credit,6229,<100,bad
0<=X<200,existing paid,1391,<100,good
0<=X<200,critical/other existing credit,1537,unknown,good
0<=X<200,no credits/all paid,1953,<100,bad
0<=X<200,no credits/all paid,14421,<100,bad
no checking,existing paid,3181,<100,good
no checking,existing paid,5190,unknown,good
no checking,existing paid,2171,<100,good
0<=X<200,existing paid,1007,>=1000,good
no checking,existing paid,1819,<100,bad
no checking,existing paid,2394,unknown,good
no checking,existing paid,8133,<100,good
no checking,critical/other existing credit,730,unknown,good
<0,critical/other existing credit,1164,<100,good
0<=X<200,critical/other existing credit,5954,<100,good
<0,existing paid,1977,unknown,bad
<0,critical/other existing credit,1526,<100,good
<0,existing paid,3965,<100,bad
0<=X<200,delayed previously,4771,<100,good
no checking,no credits/all paid,9436,unknown,good
0<=X<200,existing paid,3832,<100,good
no checking,existing paid,5943,unknown,bad
no checking,existing paid,1213,500<=X<1000,good
no checking,existing paid,1568,100<=X<500,good
<0,existing paid,1755,<100,good
<0,existing paid,2315,<100,good
no checking,critical/other existing credit,1412,<100,good
0<=X<200,critical/other existing credit,1295,<100,good
0<=X<200,existing paid,12612,100<=X<500,bad
<0,existing paid,2249,100<=X<500,good
<0,no credits/all paid,1108,<100,bad
no checking,critical/other existing credit,618,<100,good
<0,critical/other existing credit,1409,<100,good
no checking,critical/other existing credit,797,unknown,bad
>=200,critical/other existing credit,3617,unknown,good
0<=X<200,existing paid,1318,>=1000,good
0<=X<200,no credits/all paid,15945,<100,bad
no checking,critical/other existing credit,2012,unknown,good
0<=X<200,existing paid,2622,100<=X<500,good
0<=X<200,critical/other existing credit,2337,<100,good
0<=X<200,delayed previously,7057,unknown,good
no checking,existing paid,1469,100<=X<500,good
0<=X<200,existing paid,2323,<100,good
no checking,delayed previously,932,<100,good
0<=X<200,critical/other existing credit,1919,<100,good
no checking,existing paid,2445,unknown,good
0<=X<200,critical/other existing credit,11938,<100,bad
no checking,no credits/all paid,6458,<100,bad
0<=X<200,existing paid,6078,<100,good
<0,existing paid,7721,unknown,good
0<=X<200,existing paid,1410,500<=X<1000,good
0<=X<200,delayed previously,1449,100<=X<500,good
>=200,existing paid,392,<100,good
0<=X<200,existing paid,6260,<100,good
no checking,critical/other existing credit,7855,<100,bad
<0,existing paid,1680,500<=X<1000,good
no checking,critical/other existing credit,3578,unknown,good
<0,existing paid,7174,unknown,bad
<0,critical/other existing credit,2132,unknown,good
<0,critical/other existing credit,4281,500<=X<1000,bad
0<=X<200,critical/other existing credit,2366,500<=X<1000,good
<0,existing paid,1835,<100,bad
no checking,critical/other existing credit,3868,<100,good
no checking,existing paid,1768,<100,good
>=200,critical/other existing credit,781,<100,good
0<=X<200,existing paid,1924,unknown,bad
<0,critical/other existing credit,2121,<100,good
<0,existing paid,701,<100,good
0<=X<200,existing paid,639,<100,bad
0<=X<200,critical/other existing credit,1860,<100,good
<0,critical/other existing credit,3499,<100,bad
0<=X<200,existing paid,8487,unknown,good
<0,delayed previously,6887,<100,bad
no checking,existing paid,2708,<100,good
no checking,existing paid,1984,<100,good
no checking,existing paid,10144,100<=X<500,good
no checking,critical/other existing credit,1240,unknown,good
no checking,delayed previously,8613,>=1000,good
0<=X<200,existing paid,766,500<=X<1000,bad
0<=X<200,critical/other existing credit,2728,unknown,good
>=200,existing paid,1881,<100,good
>=200,existing paid,709,>=1000,good
0<=X<200,existing paid,4795,<100,good
<0,existing paid,3416,<100,good
<0,existing paid,2462,<100,bad
no checking,critical/other existing credit,2288,<100,good
0<=X<200,no credits/all paid,3566,100<=X<500,good
<0,critical/other existing credit,860,<100,good
no checking,critical/other existing credit,682,100<=X<500,good
<0,critical/other existing credit,5371,<100,good
no checking,critical/other existing credit,1582,>=1000,good
no checking,existing paid,1346,100<=X<500,good
no checking,existing paid,1924,<100,good
>=200,existing paid,5848,<100,good
0<=X<200,critical/other existing credit,7758,>=1000,good
0<=X<200,delayed previously,6967,100<=X<500,good
<0,existing paid,1282,<100,bad
<0,critical/other existing credit,1288,100<=X<500,good
<0,no credits/all paid,339,<100,good
0<=X<200,existing paid,3512,100<=X<500,good
no checking,critical/other existing credit,1898,unknown,good
no checking,critical/other existing credit,2872,100<=X<500,good
no checking,critical/other existing credit,1055,<100,good
no checking,existing paid,1262,500<=X<1000,good
0<=X<200,existing paid,7308,<100,good
no checking,existing paid,909,500<=X<1000,good
no checking,existing paid,2978,500<=X<1000,good
<0,existing paid,1131,<100,bad
0<=X<200,existing paid,1577,>=1000,good
no checking,existing paid,3972,<100,good
0<=X<200,critical/other existing credit,1935,<100,bad
<0,no credits/all paid,950,<100,bad
no checking,existing paid,763,<100,good
0<=X<200,delayed previously,2064,<100,bad
0<=X<200,existing paid,1414,<100,good
<0,delayed previously,3414,<100,bad
no checking,no credits/all paid,7485,unknown,bad
<0,existing paid,2577,<100,good
<0,critical/other existing credit,338,500<=X<1000,good
no checking,existing paid,1963,<100,good
<0,critical/other existing credit,571,<100,good
no checking,delayed previously,9572,<100,bad
0<=X<200,delayed previously,4455,<100,bad
<0,no credits/all paid,1647,unknown,bad
no checking,critical/other existing credit,3777,>=1000,good
0<=X<200,critical/other existing credit,884,<100,bad
no checking,critical/other existing credit,1360,<100,good
0<=X<200,no credits/all paid,5129,<100,bad
0<=X<200,critical/other existing credit,1175,<100,good
<0,existing paid,674,100<=X<500,bad
0<=X<200,no credits/all paid,3244,<100,good
no checking,existing paid,4591,>=1000,bad
0<=X<200,no credits/all paid,3844,100<=X<500,bad
0<=X<200,existing paid,3915,<100,bad
no checking,existing paid,2108,<100,good
0<=X<200,existing paid,3031,100<=X<500,bad
0<=X<200,critical/other existing credit,1501,<100,bad
no checking,critical/other existing credit,1382,<100,good
0<=X<200,existing paid,951,100<=X<500,bad
0<=X<200,existing paid,2760,unknown,good
0<=X<200,delayed previously,4297,<100,bad
no checking,critical/other existing credit,936,500<=X<1000,good
<0,existing paid,1168,<100,good
no checking,delayed previously,5117,<100,good
<0,existing paid,902,<100,bad
no checking,critical/other existing credit,1495,<100,good
<0,critical/other existing credit,10623,<100,good
no checking,critical/other existing credit,1935,<100,good
0<=X<200,critical/other existing credit,1424,<100,good
<0,existing paid,6568,<100,good
no checking,existing paid,1413,>=1000,good
no checking,critical/other existing credit,3074,unknown,good
no checking,existing paid,3835,unknown,good
<0,no credits/all paid,5293,<100,bad
>=200,delayed previously,1908,<100,bad
no checking,critical/other existing credit,3342,unknown,good
0<=X<200,critical/other existing credit,932,unknown,good
<0,no credits/all paid,3104,<100,good
>=200,existing paid,3913,<100,good
<0,existing paid,3021,<100,good
no checking,existing paid,1364,<100,good
0<=X<200,existing paid,625,<100,good
<0,existing paid,1200,unknown,good
no checking,existing paid,707,<100,good
no checking,delayed previously,2978,unknown,good
no checking,existing paid,4657,<100,good
no checking,no credits/all paid,2613,<100,good
0<=X<200,existing paid,10961,>=1000,bad
<0,existing paid,7865,<100,bad
no checking,existing paid,1478,<100,bad
<0,existing paid,3149,<100,good
>=200,existing paid,4210,<100,bad
no checking,existing paid,2507,500<=X<1000,good
no checking,existing paid,2141,100<=X<500,good
0<=X<200,existing paid,866,<100,good
no checking,critical/other existing credit,1544,<100,good
<0,existing paid,1823,<100,bad
0<=X<200,existing paid,14555,unknown,bad
0<=X<200,existing paid,2767,100<=X<500,bad
no checking,critical/other existing credit,1291,<100,good
<0,existing paid,2522,<100,good
<0,existing paid,915,unknown,bad
no checking,existing paid,1595,<100,good
<0,no credits/all paid,4605,<100,bad
no checking,critical/other existing credit,1185,<100,good
no checking,no credits/all paid,3447,500<=X<1000,good
no checking,existing paid,1258,<100,good
no checking,critical/other existing credit,717,<100,good
no checking,no credits/all paid,1204,100<=X<500,good
>=200,existing paid,1925,<100,good
no checking,existing paid,433,<100,bad
<0,critical/other existing credit,666,>=1000,good
>=200,existing paid,2251,<100,good
0<=X<200,existing paid,2150,<100,bad
no checking,delayed previously,4151,100<=X<500,good
0<=X<200,existing paid,2030,unknown,good
0<=X<200,delayed previously,7418,unknown,good
no checking,critical/other existing credit,2684,<100,good
<0,no credits/all paid,2149,<100,bad
no checking,existing paid,3812,100<=X<500,good
no checking,critical/other existing credit,1154,100<=X<500,good
<0,existing paid,1657,<100,good
<0,existing paid,1603,<100,good
<0,critical/other existing credit,5302,<100,good
no checking,critical/other existing credit,2748,<100,good
no checking,critical/other existing credit,1231,<100,good
0<=X<200,existing paid,802,<100,bad
no checking,critical/other existing credit,6304,unknown,good
no checking,existing paid,1533,<100,good
<0,existing paid,8978,<100,bad
no checking,existing paid,999,unknown,good
no checking,existing paid,2662,unknown,good
no checking,critical/other existing credit,1402,500<=X<1000,good
0<=X<200,no credits/all paid,12169,unknown,good
0<=X<200,existing paid,3060,<100,bad
<0,existing paid,11998,<100,bad
no checking,existing paid,2697,<100,good
no checking,critical/other existing credit,2404,<100,good
<0,existing paid,1262,unknown,good
no checking,existing paid,4611,<100,bad
no checking,existing paid,1901,100<=X<500,good
no checking,critical/other existing credit,3368,>=1000,good
no checking,existing paid,1574,<100,good
>=200,no credits/all paid,1445,unknown,good
no checking,critical/other existing credit,1520,unknown,good
0<=X<200,critical/other existing credit,3878,100<=X<500,good
<0,existing paid,10722,<100,good
<0,existing paid,4788,<100,good
0<=X<200,delayed previously,7582,100<=X<500,good
0<=X<200,existing paid,1092,<100,good
<0,delayed previously,1024,<100,bad
no checking,existing paid,1076,<100,good
0<=X<200,existing paid,9398,<100,bad
<0,critical/other existing credit,6419,<100,good
>=200,critical/other existing credit,4796,<100,good
no checking,critical/other existing credit,7629,unknown,good
0<=X<200,existing paid,9960,<100,bad
no checking,existing paid,4675,unknown,good
no checking,existing paid,1287,unknown,good
no checking,existing paid,2515,<100,good
0<=X<200,critical/other existing credit,2745,>=1000,good
no checking,existing paid,672,<100,good
0<=X<200,no credits/all paid,3804,<100,bad
>=200,critical/other existing credit,1344,unknown,bad
<0,critical/other existing credit,1038,<100,good
no checking,critical/other existing credit,10127,500<=X<1000,bad
no checking,existing paid,1543,>=1000,good
no checking,existing paid,4811,unknown,good
<0,existing paid,727,100<=X<500,bad
0<=X<200,existing paid,1237,<100,bad
0<=X<200,existing paid,276,<100,good
0<=X<200,existing paid,5381,unknown,good
no checking,existing paid,5511,100<=X<500,good
>=200,existing paid,3749,<100,good
0<=X<200,existing paid,685,<100,bad
>=200,existing paid,1494,unknown,good
<0,no credits/all paid,2746,<100,bad
<0,existing paid,708,<100,good
0<=X<200,existing paid,4351,unknown,good
no checking,critical/other existing credit,701,<100,good
<0,delayed previously,3643,<100,good
0<=X<200,critical/other existing credit,4249,<100,bad
<0,existing paid,1938,<100,bad
<0,existing paid,2910,<100,good
<0,existing paid,2659,>=1000,good
no checking,critical/other existing credit,1028,<100,good
<0,critical/other existing credit,3398,<100,good
no checking,critical/other existing credit,5801,unknown,good
no checking,existing paid,1525,>=1000,good
>=200,existing paid,4473,<100,good
0<=X<200,existing paid,1068,<100,good
<0,critical/other existing credit,6615,<100,good
no checking,critical/other existing credit,1864,100<=X<500,bad
0<=X<200,existing paid,7408,100<=X<500,bad
no checking,critical/other existing credit,11590,100<=X<500,bad
<0,no credits/all paid,4110,<100,bad
<0,critical/other existing credit,3384,<100,bad
0<=X<200,existing paid,2101,<100,good
<0,existing paid,1275,unknown,bad
<0,existing paid,4169,<100,good
0<=X<200,existing paid,1521,<100,good
0<=X<200,critical/other existing credit,5743,<100,good
<0,existing paid,3599,<100,good
0<=X<200,existing paid,3213,500<=X<1000,good
0<=X<200,existing paid,4439,<100,good
>=200,existing paid,3949,<100,good
no checking,critical/other existing credit,1459,<100,good
0<=X<200,critical/other existing credit,882,<100,good
0<=X<200,existing paid,3758,500<=X<1000,good
no checking,delayed previously,1743,100<=X<500,good
0<=X<200,critical/other existing credit,1136,>=1000,bad
no checking,existing paid,1236,<100,good
0<=X<200,existing paid,959,<100,bad
no checking,critical/other existing credit,3229,unknown,good
<0,no credits/all paid,6199,<100,bad
no checking,existing paid,727,500<=X<1000,good
0<=X<200,existing paid,1246,<100,bad
no checking,critical/other existing credit,2331,unknown,good
no checking,delayed previously,4463,<100,bad
no checking,existing paid,776,<100,good
<0,existing paid,2406,<100,bad
0<=X<200,existing paid,1239,unknown,good
>=200,existing paid,3399,unknown,good
>=200,delayed previously,2247,<100,good
no checking,existing paid,1766,<100,good
<0,existing paid,2473,<100,bad
no checking,existing paid,1542,<100,good
no checking,critical/other existing credit,3850,<100,good
<0,existing paid,3650,<100,good
<0,existing paid,3446,<100,bad
0<=X<200,existing paid,3001,<100,good
no checking,existing paid,3079,unknown,good
no checking,critical/other existing credit,6070,<100,good
no checking,critical/other existing credit,2146,<100,good
no checking,critical/other existing credit,13756,unknown,good
0<=X<200,no credits/all paid,14782,100<=X<500,bad
<0,no credits/all paid,7685,<100,bad
no checking,delayed previously,2320,<100,good
no checking,delayed previously,846,unknown,good
0<=X<200,existing paid,14318,<100,bad
no checking,critical/other existing credit,362,100<=X<500,good
<0,existing paid,2212,unknown,good
0<=X<200,existing paid,12976,<100,bad
no checking,existing paid,1283,unknown,good
>=200,existing paid,1330,<100,good
no checking,delayed previously,4272,100<=X<500,good
no checking,critical/other existing credit,2238,<100,good
no checking,existing paid,1126,unknown,good
0<=X<200,critical/other existing credit,7374,<100,good
0<=X<200,critical/other existing credit,2326,500<=X<1000,good
no checking,existing paid,1449,<100,good
no checking,existing paid,1820,<100,good
0<=X<200,existing paid,983,>=1000,good
<0,existing paid,3249,<100,good
<0,critical/other existing credit,1957,<100,good
no checking,critical/other existing credit,2406,<100,good
0<=X<200,delayed previously,11760,100<=X<500,good
<0,existing paid,2578,<100,good
<0,critical/other existing credit,2348,<100,good
0<=X<200,existing paid,1223,<100,bad
no checking,critical/other existing credit,1516,>=1000,good
no checking,existing paid,1473,<100,good
0<=X<200,critical/other existing credit,1887,unknown,good
no checking,delayed previously,8648,<100,bad
no checking,delayed previously,802,<100,good
0<=X<200,delayed previously,2899,unknown,good
0<=X<200,existing paid,2039,<100,bad
no checking,critical/other existing credit,2197,unknown,good
<0,existing paid,1053,<100,good
no checking,existing paid,3235,500<=X<1000,good
>=200,critical/other existing credit,939,500<=X<1000,bad
0<=X<200,existing paid,1967,<100,good
no checking,critical/other existing credit,7253,<100,good
no checking,critical/other existing credit,2292,<100,bad
no checking,existing paid,1597,500<=X<1000,good
<0,existing paid,1381,unknown,bad
no checking,critical/other existing credit,5842,<100,good
<0,existing paid,2579,<100,bad
<0,delayed previously,8471,unknown,good
no checking,existing paid,2782,500<=X<1000,good
0<=X<200,existing paid,1042,unknown,bad
no checking,existing paid,3186,>=1000,good
0<=X<200,existing paid,2028,unknown,good
0<=X<200,critical/other existing credit,958,<100,good
no checking,delayed previously,1591,100<=X<500,good
0<=X<200,existing paid,2762,unknown,bad
0<=X<200,existing paid,2779,<100,good
no checking,critical/other existing credit,2743,<100,good
no checking,critical/other existing credit,1149,>=1000,good
no checking,existing paid,1313,<100,good
<0,critical/other existing credit,1190,<100,bad
no checking,existing paid,3448,<100,good
0<=X<200,existing paid,13280,<100,bad
<0,critical/other existing credit,1872,<100,good
no checking,critical/other existing credit,2058,<100,good
<0,existing paid,2136,<100,good
0<=X<200,existing paid,1484,unknown,bad
no checking,existing paid,660,500<=X<1000,good
no checking,critical/other existing credit,1287,>=1000,good
<0,critical/other existing credit,3394,<100,good
>=200,no credits/all paid,609,<100,bad
no checking,existing paid,1884,<100,good
<0,existing paid,1620,<100,good
0<=X<200,delayed previously,2629,<100,good
no checking,existing paid,7190,<100,bad
0<=X<200,critical/other existing credit,5096,<100,bad
no checking,critical/other existing credit,1244,unknown,good
<0,existing paid,1842,<100,bad
0<=X<200,existing paid,2576,<100,good
>=200,existing paid,1424,unknown,good
0<=X<200,delayed previously,1512,>=1000,bad
no checking,critical/other existing credit,11054,unknown,good
no checking,existing paid,5180,<100,good
no checking,no credits/all paid,2759,<100,good
no checking,existing paid,2670,<100,good
<0,existing paid,4817,<100,bad
no checking,existing paid,2679,<100,good
<0,critical/other existing credit,3905,<100,good
<0,existing paid,3386,<100,bad
<0,existing paid,343,<100,good
no checking,existing paid,4594,<100,good
<0,existing paid,3620,<100,good
<0,existing paid,1721,<100,good
0<=X<200,existing paid,3017,<100,good
0<=X<200,existing paid,754,unknown,good
no checking,existing paid,1950,<100,good
<0,existing paid,2924,<100,good
<0,delayed previously,1659,<100,bad
no checking,delayed previously,7238,unknown,good
no checking,delayed previously,2764,<100,good
no checking,delayed previously,4679,<100,good
0<=X<200,existing paid,3092,100<=X<500,bad
<0,existing paid,448,<100,bad
<0,existing paid,654,<100,bad
no checking,existing paid,1238,unknown,good
0<=X<200,critical/other existing credit,1245,<100,bad
<0,no credits/all paid,3114,<100,bad
no checking,existing paid,2569,500<=X<1000,good
>=200,existing paid,5152,<100,good
0<=X<200,existing paid,1037,100<=X<500,good
<0,critical/other existing credit,1478,<100,good
0<=X<200,critical/other existing credit,3573,<100,good
0<=X<200,existing paid,1201,<100,good
<0,existing paid,3622,>=1000,good
no checking,delayed previously,960,>=1000,good
no checking,critical/other existing credit,1163,500<=X<1000,good
0<=X<200,delayed previously,1209,<100,bad
no checking,existing paid,3077,<100,good
no checking,existing paid,3757,<100,good
no checking,existing paid,1418,100<=X<500,good
no checking,existing paid,3518,<100,good
no checking,critical/other existing credit,1934,<100,good
0<=X<200,no credits/all paid,8318,<100,bad
no checking,critical/other existing credit,1237,100<=X<500,good
0<=X<200,existing paid,368,unknown,good
<0,critical/other existing credit,2122,<100,good
<0,existing paid,2996,unknown,bad
0<=X<200,existing paid,9034,100<=X<500,bad
