Checking Status,Credit History,Credit Requested,Saving Status,Class
no checking,critical/other existing credit,1585,<100,good
0<=X<200,existing paid,1301,<100,good
>=200,critical/other existing credit,1323,100<=X<500,good
<0,existing paid,3123,<100,bad
<0,existing paid,5493,<100,good
>=200,existing paid,1126,100<=X<500,good
0<=X<200,critical/other existing credit,1216,100<=X<500,bad
<0,existing paid,1207,<100,bad
no checking,existing paid,1309,unknown,bad
>=200,critical/other existing credit,2360,500<=X<1000,good
0<=X<200,no credits/all paid,6850,100<=X<500,bad
no checking,existing paid,1413,<100,good
no checking,existing paid,8588,100<=X<500,good
<0,existing paid,759,<100,bad
no checking,existing paid,4686,<100,good
>=200,existing paid,2687,<100,good
0<=X<200,delayed previously,5850,<100,good
no checking,existing paid,2255,unknown,good
<0,critical/other existing credit,609,<100,good
<0,critical/other existing credit,1361,<100,good
no checking,critical/other existing credit,7127,<100,bad
<0,existing paid,1203,100<=X<500,good
no checking,critical/other existing credit,700,unknown,good
no checking,critical/other existing credit,5507,<100,good
<0,existing paid,3190,<100,bad
<0,no credits/all paid,7119,<100,bad
no checking,existing paid,3488,100<=X<500,good
0<=X<200,existing paid,1113,<100,good
0<=X<200,existing paid,7966,<100,good
no checking,critical/other existing credit,1532,100<=X<500,good
no checking,critical/other existing credit,1503,<100,good
<0,existing paid,2302,<100,bad
<0,existing paid,662,<100,good
0<=X<200,existing paid,2273,<100,good
0<=X<200,existing paid,2631,100<=X<500,bad
no checking,delayed previously,1503,<100,good
no checking,existing paid,1311,100<=X<500,good
no checking,existing paid,3105,unknown,good
>=200,critical/other existing credit,2319,<100,bad
<0,existing paid,1374,unknown,good
0<=X<200,critical/other existing credit,3612,<100,good
<0,existing paid,7763,<100,bad
>=200,existing paid,3049,<100,good
0<=X<200,existing paid,1534,<100,bad
no checking,delayed previously,2032,<100,good
<0,existing paid,6350,unknown,bad
>=200,existing paid,2864,<100,bad
no checking,critical/other existing credit,1255,<100,good
<0,delayed previously,1333,<100,bad
no checking,critical/other existing credit,2022,<100,good
no checking,existing paid,1552,<100,good
<0,no credits/all paid,626,<100,bad
no checking,critical/other existing credit,8858,unknown,good
no checking,critical/other existing credit,996,unknown,good
no checking,no credits/all paid,1750,500<=X<1000,good
<0,existing paid,6999,<100,bad
0<=X<200,critical/other existing credit,1995,100<=X<500,good
0<=X<200,existing paid,1199,<100,good
0<=X<200,existing paid,1331,<100,bad
0<=X<200,no credits/all paid,2278,100<=X<500,bad
no checking,no credits/all paid,5003,unknown,bad
<0,no credits/all paid,3552,<100,bad
0<=X<200,critical/other existing credit,19280,<100,bad
<0,existing paid,2964,unknown,good
<0,no credits/all paid,1546,<100,bad
>=200,delayed previously,683,<100,good
0<=X<200,existing paid,12389,unknown,bad
0<=X<200,delayed previously,4712,unknown,good
0<=X<200,delayed previously,1553,100<=X<500,good
<0,existing paid,1372,<100,bad
no checking,critical/other existing credit,2578,>=1000,good
0<=X<200,existing paid,3979,unknown,good
<0,existing paid,6758,<100,bad
<0,existing paid,3234,<100,bad
no checking,critical/other existing credit,5954,<100,good
no checking,existing paid,5433,unknown,good
<0,existing paid,806,<100,good
0<=X<200,existing paid,1082,<100,good
no checking,critical/other existing credit,2788,<100,good
0<=X<200,existing paid,2930,<100,good
no checking,critical/other existing credit,1927,unknown,good
0<=X<200,critical/other existing credit,2820,<100,bad
no checking,existing paid,937,<100,good
0<=X<200,critical/other existing credit,1056,<100,bad
0<=X<200,critical/other existing credit,3124,<100,good
no checking,existing paid,1388,<100,good
0<=X<200,existing paid,2384,<100,bad
no checking,existing paid,2133,unknown,good
<0,existing paid,2039,<100,bad
<0,critical/other existing credit,2799,<100,good
<0,existing paid,1289,<100,good
<0,existing paid,1217,<100,bad
<0,critical/other existing credit,2246,<100,bad
<0,critical/other existing credit,385,<100,good
0<=X<200,delayed previously,1965,unknown,good
no checking,existing paid,1572,>=1000,good
0<=X<200,existing paid,2718,<100,bad
<0,no credits/all paid,13580,unknown,bad
0<=X<200,no credits/all paid,931,100<=X<500,bad
<0,existing paid,1442,<100,bad
0<=X<200,no credits/all paid,4241,<100,bad
no checking,critical/other existing credit,2775,<100,bad
no checking,delayed previously,3863,<100,good
0<=X<200,existing paid,2329,<100,good
0<=X<200,existing paid,918,<100,bad
0<=X<200,no credits/all paid,1837,<100,bad
no checking,existing paid,3349,<100,bad
>=200,existing paid,1275,<100,good
<0,no credits/all paid,2828,500<=X<1000,good
no checking,critical/other existing credit,4526,<100,good
0<=X<200,existing paid,2671,100<=X<500,bad
no checking,existing paid,2051,<100,good
no checking,existing paid,1300,unknown,good
<0,existing paid,741,100<=X<500,bad
>=200,existing paid,1240,100<=X<500,bad
<0,existing paid,3357,>=1000,good
<0,no credits/all paid,3632,<100,good
no checking,delayed previously,1808,<100,bad
0<=X<200,no credits/all paid,12204,unknown,good
0<=X<200,delayed previously,9157,unknown,good
<0,critical/other existing credit,3676,<100,good
0<=X<200,existing paid,3441,100<=X<500,bad
no checking,existing paid,640,<100,good
0<=X<200,critical/other existing credit,3652,<100,good
no checking,critical/other existing credit,1530,<100,bad
no checking,existing paid,3914,unknown,bad
<0,existing paid,1858,<100,good
<0,existing paid,2600,<100,bad
no checking,existing paid,1979,unknown,good
>=200,existing paid,2116,<100,good
0<=X<200,no credits/all paid,1437,100<=X<500,bad
no checking,critical/other existing credit,4042,500<=X<1000,good
no checking,existing paid,3832,unknown,good
<0,existing paid,3660,<100,good
<0,no credits/all paid,1553,<100,bad
0<=X<200,existing paid,1444,unknown,good
no checking,existing paid,1980,<100,bad
0<=X<200,existing paid,1355,<100,bad
no checking,existing paid,1393,<100,good
no checking,existing paid,1376,500<=X<1000,good
no checking,delayed previously,15653,<100,good
no checking,existing paid,1493,<100,good
<0,delayed previously,4370,<100,bad
<0,existing paid,750,<100,bad
0<=X<200,existing paid,1308,<100,good
no checking,existing paid,4623,100<=X<500,bad
no checking,critical/other existing credit,1851,<100,good
<0,critical/other existing credit,1880,<100,good
no checking,delayed previously,7980,unknown,bad
<0,no credits/all paid,4583,<100,good
no checking,existing paid,13860,500<=X<1000,bad
>=200,existing paid,947,<100,bad
<0,existing paid,684,<100,bad
<0,existing paid,7476,<100,good
0<=X<200,existing paid,1922,<100,bad
<0,existing paid,2303,<100,bad
0<=X<200,delayed previously,8086,100<=X<500,bad
no checking,critical/other existing credit,2346,<100,good
<0,existing paid,3973,<100,good
0<=X<200,existing paid,888,<100,bad
no checking,existing paid,10222,unknown,good
0<=X<200,no credits/all paid,4221,<100,good
0<=X<200,critical/other existing credit,6361,<100,good
>=200,existing paid,1297,<100,good
<0,existing paid,900,unknown,bad
no checking,existing paid,2241,<100,good
0<=X<200,delayed previously,1050,<100,good
>=200,critical/other existing credit,1047,<100,good
no checking,critical/other existing credit,6314,<100,good
0<=X<200,no credits/all paid,3496,>=1000,good
no checking,no credits/all paid,3609,<100,good
<0,critical/other existing credit,4843,<100,bad
>=200,critical/other existing credit,3017,<100,good
no checking,critical/other existing credit,4139,100<=X<500,good
no checking,existing paid,5742,100<=X<500,good
no checking,existing paid,10366,<100,good
no checking,critical/other existing credit,2080,500<=X<1000,good
no checking,delayed previously,2580,500<=X<1000,bad
no checking,critical/other existing credit,4530,<100,good
no checking,critical/other existing credit,5150,<100,good
0<=X<200,existing paid,5595,100<=X<500,bad
<0,existing paid,2384,<100,good
no checking,existing paid,1453,<100,good
no checking,existing paid,1538,<100,good
no checking,existing paid,2279,unknown,good
no checking,delayed previously,1478,<100,good
no checking,critical/other existing credit,5103,<100,good
0<=X<200,delayed previously,9857,100<=X<500,good
no checking,existing paid,6527,unknown,good
>=200,critical/other existing credit,1347,unknown,good
0<=X<200,delayed previously,2862,100<=X<500,good
no checking,existing paid,2753,100<=X<500,good
<0,existing paid,3651,>=1000,good
<0,critical/other existing credit,975,<100,good
0<=X<200,existing paid,2631,100<=X<500,good
0<=X<200,existing paid,2896,100<=X<500,good
<0,critical/other existing credit,4716,unknown,good
no checking,existing paid,2284,<100,good
no checking,existing paid,1236,500<=X<1000,good
0<=X<200,existing paid,1103,<100,good
no checking,critical/other existing credit,926,<100,good
no checking,critical/other existing credit,1800,<100,good
>=200,existing paid,1905,<100,good
no checking,existing paid,1123,500<=X<1000,bad
<0,critical/other existing credit,6331,<100,bad
>=200,existing paid,1377,100<=X<500,good
0<=X<200,delayed previously,2503,100<=X<500,good
0<=X<200,existing paid,2528,<100,good
no checking,existing paid,5324,500<=X<1000,good
0<=X<200,existing paid,6560,100<=X<500,bad
0<=X<200,no credits/all paid,2969,<100,bad
0<=X<200,existing paid,1206,<100,good
0<=X<200,existing paid,2118,<100,good
no checking,critical/other existing credit,629,500<=X<1000,good
<0,no credits/all paid,1198,<100,bad
no checking,existing paid,2476,unknown,good
<0,critical/other existing credit,1138,<100,good
0<=X<200,existing paid,14027,<100,bad
no checking,critical/other existing credit,7596,unknown,good
no checking,critical/other existing credit,3077,unknown,good
no checking,existing paid,1505,<100,good
>=200,critical/other existing credit,3148,unknown,good
0<=X<200,no credits/all paid,6148,100<=X<500,good
>=200,no credits/all paid,1337,<100,bad
0<=X<200,no credits/all paid,433,>=1000,bad
<0,existing paid,1228,<100,bad
0<=X<200,existing paid,790,500<=X<1000,good
no checking,existing paid,2570,<100,bad
no checking,critical/other existing credit,250,>=1000,good
no checking,critical/other existing credit,1316,500<=X<1000,good
<0,existing paid,1882,<100,bad
0<=X<200,no credits/all paid,6416,<100,bad
>=200,critical/other existing credit,1275,>=1000,good
0<=X<200,delayed previously,6403,<100,good
<0,existing paid,1987,<100,bad
0<=X<200,existing paid,760,<100,good
no checking,existing paid,2603,>=1000,good
no checking,critical/other existing credit,3380,<100,good
0<=X<200,no credits/all paid,3990,unknown,good
0<=X<200,existing paid,11560,<100,bad
<0,existing paid,4380,100<=X<500,good
no checking,critical/other existing credit,6761,<100,good
0<=X<200,no credits/all paid,4280,100<=X<500,bad
<0,no credits/all paid,2325,100<=X<500,good
0<=X<200,no credits/all paid,1048,<100,good
no checking,existing paid,3160,unknown,good
<0,no credits/all paid,2483,500<=X<1000,good
<0,critical/other existing credit,14179,unknown,good
<0,critical/other existing credit,1797,<100,good
<0,existing paid,2511,<100,good
<0,existing paid,1274,<100,bad
no checking,existing paid,5248,unknown,good
no checking,existing paid,3029,<100,good
<0,existing paid,428,<100,good
<0,existing paid,976,<100,bad
0<=X<200,existing paid,841,100<=X<500,good
no checking,critical/other existing credit,5771,<100,good
no checking,delayed previously,1555,>=1000,bad
<0,existing paid,1285,unknown,bad
>=200,critical/other existing credit,1299,<100,good
>=200,critical/other existing credit,1271,unknown,bad
no checking,existing paid,1393,<100,good
<0,critical/other existing credit,691,<100,bad
no checking,critical/other existing credit,5045,unknown,good
<0,critical/other existing credit,2124,<100,bad
<0,existing paid,2214,<100,good
no checking,critical/other existing credit,12680,unknown,bad
no checking,critical/other existing credit,2463,100<=X<500,good
0<=X<200,existing paid,1155,<100,good
<0,existing paid,3108,<100,bad
no checking,existing paid,2901,unknown,good
0<=X<200,critical/other existing credit,3617,<100,good
no checking,critical/other existing credit,1655,<100,good
<0,existing paid,2812,unknown,good
<0,critical/other existing credit,8065,<100,bad
no checking,critical/other existing credit,3275,<100,good
no checking,critical/other existing credit,2223,100<=X<500,good
>=200,critical/other existing credit,1480,500<=X<1000,good
<0,existing paid,1371,unknown,bad
no checking,critical/other existing credit,3535,<100,good
<0,existing paid,3509,<100,good
no checking,critical/other existing credit,5711,>=1000,good
0<=X<200,existing paid,3872,<100,good
0<=X<200,critical/other existing credit,4933,<100,bad
no checking,critical/other existing credit,1940,>=1000,good
0<=X<200,no credits/all paid,1410,<100,good
0<=X<200,existing paid,836,100<=X<500,bad
0<=X<200,existing paid,6468,unknown,good
0<=X<200,existing paid,1941,>=1000,good
no checking,existing paid,2675,500<=X<1000,good
no checking,critical/other existing credit,2751,unknown,good
0<=X<200,delayed previously,6224,<100,bad
<0,critical/other existing credit,5998,<100,bad
0<=X<200,existing paid,1188,<100,bad
no checking,existing paid,6313,unknown,good
no checking,critical/other existing credit,1221,unknown,good
>=200,existing paid,2892,<100,good
no checking,existing paid,3062,500<=X<1000,good
no checking,existing paid,2301,100<=X<500,good
<0,existing paid,7511,unknown,bad
no checking,critical/other existing credit,1258,<100,good
no checking,delayed previously,717,unknown,good
0<=X<200,existing paid,1549,unknown,good
no checking,critical/other existing credit,1597,<100,good
0<=X<200,critical/other existing credit,1795,<100,good
<0,critical/other existing credit,4272,<100,good
no checking,critical/other existing credit,976,unknown,good
0<=X<200,existing paid,7472,unknown,good
<0,existing paid,9271,<100,bad
0<=X<200,existing paid,590,<100,good
no checking,critical/other existing credit,930,unknown,good
0<=X<200,no credits/all paid,9283,<100,good
0<=X<200,no credits/all paid,1778,<100,bad
0<=X<200,existing paid,907,<100,good
0<=X<200,existing paid,484,<100,good
<0,critical/other existing credit,9629,<100,bad
<0,existing paid,3051,<100,bad
<0,existing paid,3931,<100,bad
0<=X<200,delayed previously,7432,<100,good
no checking,existing paid,1338,500<=X<1000,good
no checking,critical/other existing credit,1554,<100,good
<0,existing paid,15857,<100,good
<0,existing paid,1345,<100,bad
no checking,existing paid,1101,<100,good
>=200,existing paid,3016,<100,good
<0,existing paid,2712,<100,bad
<0,critical/other existing credit,731,<100,good
no checking,critical/other existing credit,3780,<100,good
<0,critical/other existing credit,1602,<100,good
<0,critical/other existing credit,3966,<100,bad
no checking,no credits/all paid,4165,<100,bad
<0,existing paid,8335,unknown,bad
0<=X<200,delayed previously,6681,unknown,good
no checking,delayed previously,2375,500<=X<1000,good
<0,existing paid,1216,<100,bad
<0,no credits/all paid,11816,<100,bad
0<=X<200,existing paid,5084,unknown,good
>=200,existing paid,2327,<100,bad
<0,no credits/all paid,1082,<100,bad
no checking,existing paid,886,unknown,good
no checking,existing paid,601,<100,good
<0,critical/other existing credit,2957,<100,good
no checking,critical/other existing credit,2611,<100,good
<0,existing paid,5179,<100,bad
no checking,delayed previously,2993,<100,good
no checking,existing paid,1943,<100,bad
no checking,no credits/all paid,1559,<100,good
no checking,existing paid,3422,<100,good
0<=X<200,existing paid,3976,unknown,good
no checking,existing paid,6761,unknown,bad
no checking,existing paid,1249,<100,good
<0,existing paid,1364,<100,good
<0,existing paid,709,<100,bad
<0,critical/other existing credit,2235,<100,bad
no checking,critical/other existing credit,4042,unknown,good
no checking,critical/other existing credit,1471,<100,good
<0,no credits/all paid,1442,<100,bad
no checking,delayed previously,10875,<100,good
no checking,existing paid,1474,100<=X<500,good
no checking,existing paid,894,unknown,good
no checking,critical/other existing credit,3343,<100,good
<0,existing paid,3959,<100,bad
no checking,existing paid,3577,100<=X<500,good
no checking,critical/other existing credit,5804,>=1000,good
no checking,delayed previously,2169,<100,bad
<0,existing paid,2439,<100,bad
no checking,critical/other existing credit,4526,>=1000,good
no checking,existing paid,2210,<100,bad
no checking,existing paid,2221,500<=X<1000,good
<0,existing paid,2389,<100,good
no checking,critical/other existing credit,3331,<100,good
no checking,existing paid,7409,unknown,good
<0,existing paid,652,<100,good
no checking,delayed previously,7678,500<=X<1000,good
>=200,critical/other existing credit,1343,<100,good
<0,critical/other existing credit,1382,100<=X<500,good
no checking,existing paid,874,unknown,good
<0,existing paid,3590,<100,good
0<=X<200,critical/other existing credit,1322,>=1000,good
<0,no credits/all paid,1940,<100,good
no checking,existing paid,3595,<100,good
<0,existing paid,1422,<100,bad
no checking,critical/other existing credit,6742,unknown,good
no checking,existing paid,7814,<100,good
no checking,existing paid,9277,unknown,good
0<=X<200,critical/other existing credit,2181,unknown,good
no checking,critical/other existing credit,1098,<100,good
0<=X<200,existing paid,4057,<100,bad
<0,existing paid,795,<100,bad
0<=X<200,critical/other existing credit,2825,unknown,good
0<=X<200,existing paid,15672,<100,bad
no checking,critical/other existing credit,6614,<100,good
no checking,no credits/all paid,7824,unknown,good
<0,critical/other existing credit,2442,<100,good
no checking,critical/other existing credit,1829,<100,good
<0,critical/other existing credit,2171,<100,good
0<=X<200,critical/other existing credit,5800,<100,good
no checking,critical/other existing credit,1169,unknown,good
no checking,delayed previously,8947,unknown,good
<0,existing paid,2606,<100,good
no checking,critical/other existing credit,1592,>=1000,good
no checking,existing paid,2186,unknown,good
<0,existing paid,4153,<100,bad
<0,critical/other existing credit,2625,<100,bad
no checking,critical/other existing credit,3485,unknown,good
no checking,critical/other existing credit,10477,unknown,good
no checking,existing paid,1386,unknown,good
no checking,existing paid,1278,<100,good
<0,existing paid,1107,<100,good
<0,existing paid,3763,unknown,good
0<=X<200,existing paid,3711,unknown,good
no checking,delayed previously,3594,<100,good
0<=X<200,existing paid,3195,unknown,good
no checking,delayed previously,4454,<100,good
0<=X<200,critical/other existing credit,4736,<100,bad
0<=X<200,existing paid,2991,unknown,good
no checking,existing paid,2142,>=1000,good
<0,no credits/all paid,3161,<100,bad
0<=X<200,no credits/all paid,18424,<100,bad
no checking,existing paid,2848,100<=X<500,good
<0,existing paid,14896,<100,bad
<0,existing paid,2359,100<=X<500,bad
<0,existing paid,3345,<100,bad
no checking,critical/other existing credit,1817,<100,good
no checking,delayed previously,12749,500<=X<1000,good
<0,existing paid,1366,<100,bad
0<=X<200,existing paid,2002,<100,good
<0,no credits/all paid,6872,<100,bad
<0,no credits/all paid,697,<100,bad
<0,critical/other existing credit,1049,<100,good
<0,existing paid,10297,<100,bad
no checking,existing paid,1867,unknown,good
<0,delayed previously,1344,<100,good
<0,existing paid,1747,<100,good
0<=X<200,existing paid,1670,<100,bad
no checking,critical/other existing credit,1224,<100,good
no checking,critical/other existing credit,522,500<=X<1000,good
<0,existing paid,1498,<100,good
0<=X<200,delayed previously,1919,100<=X<500,bad
>=200,existing paid,745,<100,bad
0<=X<200,existing paid,2063,<100,good
0<=X<200,existing paid,6288,<100,bad
no checking,critical/other existing credit,6842,unknown,good
no checking,existing paid,3527,unknown,good
no checking,existing paid,1546,<100,good
no checking,existing paid,929,unknown,good
no checking,critical/other existing credit,1455,<100,good
<0,existing paid,1845,<100,good
0<=X<200,no credits/all paid,8358,500<=X<1000,good
<0,no credits/all paid,3349,500<=X<1000,bad
no checking,existing paid,2859,unknown,good
no checking,existing paid,1533,<100,bad
no checking,existing paid,3621,100<=X<500,bad
0<=X<200,critical/other existing credit,3590,<100,good
<0,delayed previously,2145,<100,bad
0<=X<200,existing paid,4113,500<=X<1000,bad
no checking,existing paid,10974,<100,bad
<0,existing paid,1893,<100,good
<0,critical/other existing credit,1231,>=1000,good
>=200,critical/other existing credit,3656,unknown,good
0<=X<200,critical/other existing credit,1154,<100,good
<0,existing paid,4006,<100,bad
0<=X<200,existing paid,3069,100<=X<500,good
no checking,critical/other existing credit,1740,<100,good
0<=X<200,delayed previously,2353,<100,good
no checking,existing paid,3556,unknown,good
no checking,existing paid,2397,500<=X<1000,bad
0<=X<200,existing paid,454,<100,good
0<=X<200,existing paid,1715,unknown,good
0<=X<200,critical/other existing credit,2520,500<=X<1000,bad
no checking,existing paid,3568,<100,good
no checking,existing paid,7166,unknown,good
<0,critical/other existing credit,3939,<100,good
0<=X<200,existing paid,1514,100<=X<500,good
no checking,existing paid,7393,<100,good
<0,no credits/all paid,1193,<100,bad
<0,existing paid,7297,<100,bad
no checking,critical/other existing credit,2831,<100,good
>=200,existing paid,1258,500<=X<1000,good
0<=X<200,existing paid,753,<100,good
0<=X<200,delayed previously,2427,unknown,good
no checking,delayed previously,2538,<100,bad
0<=X<200,no credits/all paid,1264,100<=X<500,bad
0<=X<200,critical/other existing credit,8386,<100,bad
no checking,existing paid,4844,<100,bad
>=200,existing paid,2923,100<=X<500,good
<0,existing paid,8229,<100,bad
no checking,critical/other existing credit,2028,<100,good
<0,critical/other existing credit,1433,<100,good
>=200,no credits/all paid,6289,<100,good
no checking,existing paid,1409,100<=X<500,good
<0,existing paid,6579,<100,good
0<=X<200,critical/other existing credit,1743,<100,good
no checking,critical/other existing credit,3565,unknown,good
no checking,no credits/all paid,1569,100<=X<500,good
<0,existing paid,1936,unknown,good
<0,existing paid,3959,<100,good
no checking,existing paid,2390,unknown,good
no checking,existing paid,1736,<100,good
<0,existing paid,3857,<100,good
no checking,existing paid,804,<100,good
<0,existing paid,1845,<100,bad
0<=X<200,critical/other existing credit,4576,100<=X<500,good
